PID,Time,Event,Duration(ms)
26602,1701122281.048443,Starting forkall,0.00
26602,1701122281.150138,Starting parent,101.69
26602,1701122281.150779,Started wait for iothread lock,0.64
26602,1701122281.150799,Acquired iothread lock,0.02
26602,1701122281.150894,HMP done in parent,0.09
26615,1701122281.151465,Starting child,0.57
26615,1701122281.151974,Restored threads,0.51
26615,1701122281.154433,Started wait for iothread lock,2.46
26615,1701122281.154742,Acquired iothread lock,0.31
26615,1701122281.616274,Got the socket conn CHILD,461.53
26615,1701122281.616282,HMP Start loading the VM CHILD,0.01
26615,1701122281.616284,HMP Start loading the snapshot,0.00
26615,1701122281.616434,flushing the record/replay queue,0.15
26615,1701122281.616440,bdrv_drain_all_begin,0.01
26615,1701122281.616510,bdrv_all_goto_snapshot,0.07
26615,1701122281.616513,bdrv_all_goto_snapshot done,0.00
26615,1701122281.620571,Actuall loadvm_state,4.06
26615,1701122281.620631,Done with loadvm_state,0.06
26615,1701122281.620633,Release aioctx | Starting bdrv drain all end,0.00
26615,1701122281.620633,Done with load_snapshot,0.00
26615,1701122281.620636,HMP end loading the snapshot,0.00
26615,1701122281.620642,HMP Done loading the VM CHILD,0.01
