PID,Time,Event,Duration(ms)
14041,1701135337.729265,Starting forkall,0.00
14041,1701135337.830932,Starting parent,101.67
14057,1701135337.831530,Starting child,0.60
14041,1701135337.831714,Started wait for iothread lock,0.18
14041,1701135337.831735,Acquired iothread lock,0.02
14041,1701135337.831790,HMP done in parent,0.06
14057,1701135337.833770,Restored threads,1.98
14057,1701135337.834963,Started wait for iothread lock,1.19
14057,1701135337.835017,Acquired iothread lock,0.05
14057,1701135338.055221,Got the socket conn CHILD,220.20
14057,1701135338.055230,HMP Start loading the VM CHILD,0.01
14057,1701135338.055268,HMP Start loading the snapshot,0.04
14057,1701135338.055397,flushing the record/replay queue,0.13
14057,1701135338.055403,bdrv_drain_all_begin,0.01
14057,1701135338.055469,bdrv_all_goto_snapshot,0.07
14057,1701135338.055486,bdrv_all_goto_snapshot done,0.02
14057,1701135338.061820,Actuall loadvm_state,6.33
14057,1701135338.061880,Done with loadvm_state,0.06
14057,1701135338.061896,Release aioctx | Starting bdrv drain all end,0.02
14057,1701135338.061896,Done with load_snapshot,0.00
14057,1701135338.061900,HMP end loading the snapshot,0.00
14057,1701135338.061908,HMP Done loading the VM CHILD,0.01
