PID,Time,Event,Duration(ms)
6539,1701122773.452620,Starting forkall,0.00
6539,1701122773.554943,Starting parent,102.32
6539,1701122773.555618,Started wait for iothread lock,0.67
6539,1701122773.555640,Acquired iothread lock,0.02
6539,1701122773.555704,HMP done in parent,0.06
6555,1701122773.555859,Starting child,0.15
6555,1701122773.556803,Restored threads,0.94
6555,1701122773.557485,Started wait for iothread lock,0.68
6555,1701122773.557500,Acquired iothread lock,0.01
6555,1701122773.953513,Got the socket conn CHILD,396.01
6555,1701122773.953522,HMP Start loading the VM CHILD,0.01
6555,1701122773.953523,Enabling EPT sharing,0.00
6555,1701122773.967189,EPT shared: DONE,13.67
6555,1701122773.967195,HMP Start loading the snapshot,0.01
6555,1701122773.967272,flushing the record/replay queue,0.08
6555,1701122773.967277,bdrv_drain_all_begin,0.01
6555,1701122773.967339,bdrv_all_goto_snapshot,0.06
6555,1701122773.967354,bdrv_all_goto_snapshot done,0.02
6555,1701122773.980414,Actuall loadvm_state,13.06
6555,1701122773.980679,Done with loadvm_state,0.27
6555,1701122773.980683,Release aioctx | Starting bdrv drain all end,0.00
6555,1701122773.980686,Done with load_snapshot,0.00
6555,1701122773.980706,HMP end loading the snapshot,0.02
6555,1701122773.980736,HMP Done loading the VM CHILD,0.03
