PID,Time,Event,Duration(ms)
22113,1701139341.572775,Starting forkall,0.00
22113,1701139341.675323,Starting parent,102.55
22196,1701139341.675903,Starting child,0.58
22113,1701139341.676091,Started wait for iothread lock,0.19
22113,1701139341.676108,Acquired iothread lock,0.02
22113,1701139341.676154,HMP done in parent,0.05
22196,1701139341.676932,Restored threads,0.78
22196,1701139341.678669,Started wait for iothread lock,1.74
22196,1701139341.678965,Acquired iothread lock,0.30
22196,1701139342.140165,Got the socket conn CHILD,461.20
22196,1701139342.140174,HMP Start loading the VM CHILD,0.01
22196,1701139342.140175,HMP Start loading the snapshot,0.00
22196,1701139342.140253,flushing the record/replay queue,0.08
22196,1701139342.140258,bdrv_drain_all_begin,0.01
22196,1701139342.140410,bdrv_all_goto_snapshot,0.15
22196,1701139342.140413,bdrv_all_goto_snapshot done,0.00
22196,1701139342.153886,Actuall loadvm_state,13.47
22196,1701139342.154189,Done with loadvm_state,0.30
22196,1701139342.154194,Release aioctx | Starting bdrv drain all end,0.01
22196,1701139342.154195,Done with load_snapshot,0.00
22196,1701139342.154213,HMP end loading the snapshot,0.02
22196,1701139342.154236,HMP Done loading the VM CHILD,0.02
