Pid,Time,Event
17986,1700597606.541673,HMP starting the forkall
17986,1700597606.541718,Starting forkall
18021,1700597606.645160,Starting child
18021,1700597606.645685,Restored threads
18021,1700597606.646636,Started wait for iothread lock
18021,1700597606.646653,Acquired iothread lock
18021,1700597607.107400,Got the socket conn CHILD
18021,1700597607.107409,HMP Start loading the VM CHILD
18021,1700597607.107410,Enabling EPT sharing
18021,1700597607.107448,EPT shared: ERROR -1
18021,1700597607.107450,HMP Start loading the snapshot
18021,1700597607.107572,flushing the record/replay queue
18021,1700597607.107578,bdrv_drain_all_begin
18021,1700597607.107651,bdrv_all_goto_snapshot
18021,1700597607.107653,bdrv_all_goto_snapshot done
18021,1700597607.114495,Actuall loadvm_state
18021,1700597607.114574,Done with loadvm_state
18021,1700597607.114588,Release aioctx | Starting bdrv drain all end
18021,1700597607.114588,Done with load_snapshot
18021,1700597607.114589,HMP end loading the snapshot
18021,1700597607.114610,HMP Done loading the VM CHILD
